day,time,clearing price (CNY/MWh)
2023/7/1,0:15,353.34807500000005
2023/7/1,0:30,353.34807500000005
2023/7/1,0:45,353.34807500000005
2023/7/1,1:00,353.34807500000005
2023/7/1,1:15,333.038625
2023/7/1,1:30,333.038625
2023/7/1,1:45,333.038625
2023/7/1,2:00,333.038625
2023/7/1,2:15,333.40802499999995
2023/7/1,2:30,333.40802499999995
2023/7/1,2:45,333.40802499999995
2023/7/1,3:00,333.40802499999995
2023/7/1,3:15,330.5276
2023/7/1,3:30,330.5276
2023/7/1,3:45,330.5276
2023/7/1,4:00,330.5276
2023/7/1,4:15,327.37237500000003
2023/7/1,4:30,327.37237500000003
2023/7/1,4:45,327.37237500000003
2023/7/1,5:00,327.37237500000003
2023/7/1,5:15,347.64445
2023/7/1,5:30,347.64445
2023/7/1,5:45,347.64445
2023/7/1,6:00,347.64445
2023/7/1,6:15,336.4918
2023/7/1,6:30,336.4918
2023/7/1,6:45,336.4918
2023/7/1,7:00,336.4918
2023/7/1,7:15,295.28942500000005
2023/7/1,7:30,295.28942500000005
2023/7/1,7:45,295.28942500000005
2023/7/1,8:00,295.28942500000005
2023/7/1,8:15,258.63174999999995
2023/7/1,8:30,258.63174999999995
2023/7/1,8:45,258.63174999999995
2023/7/1,9:00,258.63174999999995
2023/7/1,9:15,228.99115
2023/7/1,9:30,228.99115
2023/7/1,9:45,228.99115
2023/7/1,10:00,228.99115
2023/7/1,10:15,217.79647500000002
2023/7/1,10:30,217.79647500000002
2023/7/1,10:45,217.79647500000002
2023/7/1,11:00,217.79647500000002
2023/7/1,11:15,244.86079999999998
2023/7/1,11:30,244.86079999999998
2023/7/1,11:45,244.86079999999998
2023/7/1,12:00,244.86079999999998
2023/7/1,12:15,226.094075
2023/7/1,12:30,226.094075
2023/7/1,12:45,226.094075
2023/7/1,13:00,226.094075
2023/7/1,13:15,264.897725
2023/7/1,13:30,264.897725
2023/7/1,13:45,264.897725
2023/7/1,14:00,264.897725
2023/7/1,14:15,292.5851
2023/7/1,14:30,292.5851
2023/7/1,14:45,292.5851
2023/7/1,15:00,292.5851
2023/7/1,15:15,360.0079
2023/7/1,15:30,360.0079
2023/7/1,15:45,360.0079
2023/7/1,16:00,360.0079
2023/7/1,16:15,408.817675
2023/7/1,16:30,408.817675
2023/7/1,16:45,408.817675
2023/7/1,17:00,408.817675
2023/7/1,17:15,445.30635
2023/7/1,17:30,445.30635
2023/7/1,17:45,445.30635
2023/7/1,18:00,445.30635
2023/7/1,18:15,464.0915
2023/7/1,18:30,464.0915
2023/7/1,18:45,464.0915
2023/7/1,19:00,464.0915
2023/7/1,19:15,465.493925
2023/7/1,19:30,465.493925
2023/7/1,19:45,465.493925
2023/7/1,20:00,465.493925
2023/7/1,20:15,457.533925
2023/7/1,20:30,457.533925
2023/7/1,20:45,457.533925
2023/7/1,21:00,457.533925
2023/7/1,21:15,433.5413
2023/7/1,21:30,433.5413
2023/7/1,21:45,433.5413
2023/7/1,22:00,433.5413
2023/7/1,22:15,428.925725
2023/7/1,22:30,428.925725
2023/7/1,22:45,428.925725
2023/7/1,23:00,428.925725
2023/7/1,23:15,399.61379999999997
2023/7/1,23:30,399.61379999999997
2023/7/1,23:45,399.61379999999997
2023/7/1,24:00:00,399.61379999999997
2023/7/2,0:15,362.058875
2023/7/2,0:30,362.058875
2023/7/2,0:45,362.058875
2023/7/2,1:00,362.058875
2023/7/2,1:15,349.676525
2023/7/2,1:30,349.676525
2023/7/2,1:45,349.676525
2023/7/2,2:00,349.676525
2023/7/2,2:15,342.48355
2023/7/2,2:30,342.48355
2023/7/2,2:45,342.48355
2023/7/2,3:00,342.48355
2023/7/2,3:15,341.33917499999995
2023/7/2,3:30,341.33917499999995
2023/7/2,3:45,341.33917499999995
2023/7/2,4:00,341.33917499999995
2023/7/2,4:15,343.81462500000004
2023/7/2,4:30,343.81462500000004
2023/7/2,4:45,343.81462500000004
2023/7/2,5:00,343.81462500000004
2023/7/2,5:15,358.73605
2023/7/2,5:30,358.73605
2023/7/2,5:45,358.73605
2023/7/2,6:00,358.73605
2023/7/2,6:15,351.498075
2023/7/2,6:30,351.498075
2023/7/2,6:45,351.498075
2023/7/2,7:00,351.498075
2023/7/2,7:15,330.565325
2023/7/2,7:30,330.565325
2023/7/2,7:45,330.565325
2023/7/2,8:00,330.565325
2023/7/2,8:15,272.829675
2023/7/2,8:30,272.829675
2023/7/2,8:45,272.829675
2023/7/2,9:00,272.829675
2023/7/2,9:15,249.21072500000002
2023/7/2,9:30,249.21072500000002
2023/7/2,9:45,249.21072500000002
2023/7/2,10:00,249.21072500000002
2023/7/2,10:15,233.78327499999997
2023/7/2,10:30,233.78327499999997
2023/7/2,10:45,233.78327499999997
2023/7/2,11:00,233.78327499999997
2023/7/2,11:15,234.75257499999998
2023/7/2,11:30,234.75257499999998
2023/7/2,11:45,234.75257499999998
2023/7/2,12:00,234.75257499999998
2023/7/2,12:15,213.645125
2023/7/2,12:30,213.645125
2023/7/2,12:45,213.645125
2023/7/2,13:00,213.645125
2023/7/2,13:15,244.480025
2023/7/2,13:30,244.480025
2023/7/2,13:45,244.480025
2023/7/2,14:00,244.480025
2023/7/2,14:15,282.334725
2023/7/2,14:30,282.334725
2023/7/2,14:45,282.334725
2023/7/2,15:00,282.334725
2023/7/2,15:15,355.53342499999997
2023/7/2,15:30,355.53342499999997
2023/7/2,15:45,355.53342499999997
2023/7/2,16:00,355.53342499999997
2023/7/2,16:15,415.13695
2023/7/2,16:30,415.13695
2023/7/2,16:45,415.13695
2023/7/2,17:00,415.13695
2023/7/2,17:15,441.81289999999996
2023/7/2,17:30,441.81289999999996
2023/7/2,17:45,441.81289999999996
2023/7/2,18:00,441.81289999999996
2023/7/2,18:15,464.54445
2023/7/2,18:30,464.54445
2023/7/2,18:45,464.54445
2023/7/2,19:00,464.54445
2023/7/2,19:15,469.84677500000004
2023/7/2,19:30,469.84677500000004
2023/7/2,19:45,469.84677500000004
2023/7/2,20:00,469.84677500000004
2023/7/2,20:15,468.66805
2023/7/2,20:30,468.66805
2023/7/2,20:45,468.66805
2023/7/2,21:00,468.66805
2023/7/2,21:15,461.85422499999993
2023/7/2,21:30,461.85422499999993
2023/7/2,21:45,461.85422499999993
2023/7/2,22:00,461.85422499999993
2023/7/2,22:15,464.464925
2023/7/2,22:30,464.464925
2023/7/2,22:45,464.464925
2023/7/2,23:00,464.464925
2023/7/2,23:15,424.036825
2023/7/2,23:30,424.036825
2023/7/2,23:45,424.036825
2023/7/2,24:00:00,424.036825
2023/7/3,0:15,398.863975
2023/7/3,0:30,398.863975
2023/7/3,0:45,398.863975
2023/7/3,1:00,398.863975
2023/7/3,1:15,373.330775
2023/7/3,1:30,373.330775
2023/7/3,1:45,373.330775
2023/7/3,2:00,373.330775
2023/7/3,2:15,370.63789999999995
2023/7/3,2:30,370.63789999999995
2023/7/3,2:45,370.63789999999995
2023/7/3,3:00,370.63789999999995
2023/7/3,3:15,358.9274
2023/7/3,3:30,358.9274
2023/7/3,3:45,358.9274
2023/7/3,4:00,358.9274
2023/7/3,4:15,375.722425
2023/7/3,4:30,375.722425
2023/7/3,4:45,375.722425
2023/7/3,5:00,375.722425
2023/7/3,5:15,406.47675000000004
2023/7/3,5:30,406.47675000000004
2023/7/3,5:45,406.47675000000004
2023/7/3,6:00,406.47675000000004
2023/7/3,6:15,414.5634
2023/7/3,6:30,414.5634
2023/7/3,6:45,414.5634
2023/7/3,7:00,414.5634
2023/7/3,7:15,413.906475
2023/7/3,7:30,413.906475
2023/7/3,7:45,413.906475
2023/7/3,8:00,413.906475
2023/7/3,8:15,383.385375
2023/7/3,8:30,383.385375
2023/7/3,8:45,383.385375
2023/7/3,9:00,383.385375
2023/7/3,9:15,344.1053
2023/7/3,9:30,344.1053
2023/7/3,9:45,344.1053
2023/7/3,10:00,344.1053
2023/7/3,10:15,340.74530000000004
2023/7/3,10:30,340.74530000000004
2023/7/3,10:45,340.74530000000004
2023/7/3,11:00,340.74530000000004
2023/7/3,11:15,330.659725
2023/7/3,11:30,330.659725
2023/7/3,11:45,330.659725
2023/7/3,12:00,330.659725
2023/7/3,12:15,308.82935000000003
2023/7/3,12:30,308.82935000000003
2023/7/3,12:45,308.82935000000003
2023/7/3,13:00,308.82935000000003
2023/7/3,13:15,321.69489999999996
2023/7/3,13:30,321.69489999999996
2023/7/3,13:45,321.69489999999996
2023/7/3,14:00,321.69489999999996
2023/7/3,14:15,347.03525
2023/7/3,14:30,347.03525
2023/7/3,14:45,347.03525
2023/7/3,15:00,347.03525
2023/7/3,15:15,403.8726
2023/7/3,15:30,403.8726
2023/7/3,15:45,403.8726
2023/7/3,16:00,403.8726
2023/7/3,16:15,455.09825
2023/7/3,16:30,455.09825
2023/7/3,16:45,455.09825
2023/7/3,17:00,455.09825
