iter	MultiClass
0	1.489423038
1	1.175747978
2	0.9711951339
3	0.820300689
4	0.7051558395
5	0.6110427574
6	0.5340600494
7	0.4698158719
8	0.4151354665
9	0.3684114781
10	0.3280597285
11	0.2928294142
12	0.262070144
13	0.2349916259
14	0.2110854693
15	0.1896166738
16	0.1707519425
17	0.1540237378
18	0.139290428
19	0.1258859688
20	0.1138968535
21	0.1032926892
22	0.09372433813
23	0.08509539431
24	0.07730558121
25	0.07038479394
26	0.06415339912
27	0.05848660485
28	0.05339346499
29	0.04873523391
30	0.04458770489
31	0.04077666347
32	0.03745244135
33	0.03437952657
34	0.03164192941
35	0.02912096257
36	0.02684635888
37	0.02478529842
38	0.02289610153
39	0.02121790567
40	0.01970067934
41	0.01827655583
42	0.01706258461
43	0.01590998608
44	0.01483275341
45	0.01389552456
46	0.01302245568
47	0.01225429446
48	0.01158244962
49	0.01098422737
50	0.01040119134
51	0.009861691361
52	0.009349701394
53	0.008938750002
54	0.008503755022
55	0.008148968118
56	0.007763832706
57	0.007433910237
58	0.007128492053
59	0.00686210812
60	0.006602849097
61	0.006333248943
62	0.006122134543
63	0.005882182872
64	0.00567307927
65	0.005509978069
66	0.005354056546
67	0.005199257844
68	0.005051502249
69	0.004903604854
70	0.004779638012
71	0.004692240202
72	0.004573841437
73	0.004441335127
74	0.004342566087
75	0.004251311047
76	0.004148752041
77	0.00407104985
78	0.003989843905
79	0.003937202982
80	0.003848656199
81	0.00376509444
82	0.003707741403
83	0.003654520602
84	0.00359971162
85	0.003541822379
86	0.003499662041
87	0.003457010689
88	0.003410703255
89	0.003384654127
90	0.00334709752
91	0.003309611993
92	0.003279532541
93	0.003232504798
94	0.003179157655
95	0.003137083989
96	0.003089654675
97	0.003050203306
98	0.003003974336
99	0.002954418152
100	0.002929493371
101	0.002889118945
102	0.00284432884
103	0.002808504115
104	0.002776164343
105	0.002748014427
106	0.002731576209
107	0.002705139442
108	0.002682740944
109	0.00265577365
110	0.002627338721
111	0.002600107375
112	0.002585999973
113	0.002565337614
114	0.002533820345
115	0.002501734993
116	0.002483895258
117	0.002455995727
118	0.002430734955
119	0.002414318129
120	0.002385671565
121	0.002367402408
122	0.002344505938
123	0.002319651709
124	0.002294963504
125	0.002277473556
126	0.002245145174
127	0.002226362078
128	0.002214691521
129	0.002183773531
130	0.00216163858
131	0.002152571469
132	0.00212352712
133	0.00209822004
134	0.002080306499
135	0.002061217332
136	0.002042224699
137	0.002026434002
138	0.002015367444
139	0.001999176743
140	0.001985731959
141	0.001965979819
142	0.001953957899
143	0.001940107839
144	0.001916058832
145	0.001896489699
146	0.001879180925
147	0.001867809569
148	0.001853831854
149	0.001850774356
150	0.001838716885
151	0.001823427326
152	0.001817872524
153	0.001807512343
154	0.001795944082
155	0.001781203829
156	0.001773930208
157	0.00176373894
158	0.001746281256
159	0.001736085232
